編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
RPQOMLRJKILFFGF78CC,38,82.00,住家用,鋼筋混凝土造,67年6月1日,四層,
RPQOMLRJKILFFGF78CC,38,82.00,住家用,鋼筋混凝土造,67年6月1日,四層,
RPRPMLSJKILFFHF56CC,40,118.06,住家用,鋼筋混凝土造,65年10月22日,五層,
RPQPMLMKKILFFBF08DC,37,128.74,商業用,鋼筋混凝土造,69年1月23日,二層,
RPQPMLMKKILFFBF08DC,37,128.74,住家用,鋼筋混凝土造,69年1月23日,二層,
RPQPMLMKKILFFBF08DC,37,128.74,商業用,鋼筋混凝土造,69年1月23日,二層,
RPQPMLMKKILFFBF08DC,37,128.74,住家用,鋼筋混凝土造,69年1月23日,二層,
RPQPMLMKKILFFBF08DC,37,128.74,住家用,鋼筋混凝土造,69年1月23日,二層,
RPQPMLMKKILFFBF08DC,37,127.09,住家用,鋼筋混凝土造,69年1月23日,二層,
RPWNMLNKKILFFIF76EC,31,361.92,見其他登記事項,鋼筋混凝土造,74年12月16日,三層,
RPVUMLOKKILFFBF56CC,24,510.92,工業用,鋼造,81年10月15日,一層,
RPTNMLTKKILFFIF86CC,3,728.65,見其他登記事項,鋼筋混凝土造,103年1月21日,四層,
RPTNMLTKKILFFIF86CC,3,749.45,見其他登記事項,鋼筋混凝土造,103年1月21日,四層,
RPWNMLKLKILFFBF28CC,5,176.29,見其他登記事項,鋼筋混凝土造,100年9月15日,二層,
RPWNMLKLKILFFBF28CC,5,75.31,見其他登記事項,鋼筋混凝土造,100年9月15日,十九層,
RPUQMLLLKILFFGF98CC,33,219.09,見其他登記事項,鋼筋混凝土造,73年1月31日,三層,
RPUNMLRLKILFFIF86CC,3,1366.40,見其他登記事項,見其他登記事項,102年12月25日,四層,
RPUNMLRLKILFFIF86CC,3,1527.36,見其他登記事項,見其他登記事項,102年12月25日,四層,
RPUNMLRLKILFFIF86CC,3,1527.36,見其他登記事項,見其他登記事項,102年12月25日,四層,
RPUNMLRLKILFFIF86CC,3,1527.36,見其他登記事項,見其他登記事項,102年12月25日,四層,
